id,mood,timestamp,relative_position,device_type,subject
649,very happy,01/11/2119 18:09,1,BD,23
650,very calm,02/11/2119 08:22,1,BD,23
651,very relaxed,02/11/2119 10:50,1,BD,23
652,very happy,02/11/2119 19:54,1,BD,23
653,very relaxed,03/11/2119 00:24,1,BD,23
654,somewhat relaxed,04/11/2119 10:09,0.5,BD,23
655,very calm,04/11/2119 15:57,1,BD,23
656,very sad,04/11/2119 20:46,1,BD,23
657,very calm,05/11/2119 06:01,1,BD,23
658,very relaxed,05/11/2119 12:58,1,BD,23
1182,calm,06/01/2020 23:31,0.380476,CL,28
1193,very sad,07/01/2020 12:58,0.5,BD,4
699,very happy,06/11/2119 14:32,1,BD,23
700,very relaxed,06/11/2119 19:21,1,BD,23
701,very happy,07/11/2119 13:05,1,BD,23
702,very relaxed,08/11/2119 02:24,1,BD,23
703,very calm,08/11/2119 09:16,1,BD,23
706,very relaxed,08/11/2119 14:55,1,BD,23
707,somewhat relaxed,08/11/2019 16:22,1,BD,24
708,somewhat bored,08/11/2019 16:27,0.5,BD,24
709,very relaxed,08/11/2019 18:29,1,BD,24
710,very calm,09/11/2119 11:49,0.5,BD,23
711,somewhat bored,09/11/2019 12:19,0.5,BD,24
712,very relaxed,09/11/2019 18:08,1,BD,24
713,somewhat relaxed,10/11/2019 12:07,1,BD,24
714,very relaxed,10/11/2119 14:08,0.5,BD,23
715,very happy,10/11/2119 16:50,1,BD,23
716,very relaxed,10/11/2119 16:55,0.5,BD,23
717,very relaxed,10/11/2019 18:15,0.5,BD,24
718,very calm,10/11/2119 22:04,0.5,BD,23
719,very bored,10/11/2019 22:06,1,BD,24
720,very sad,11/11/2019 08:37,1,BD,24
721,very happy,11/11/2019 10:44,1,BD,24
722,very relaxed,11/11/2119 13:23,1,BD,23
723,very relaxed,11/11/2019 15:08,1,BD,24
724,somewhat calm,11/11/2019 18:29,1,BD,24
725,very relaxed,12/11/2119 04:55,1,BD,23
726,very relaxed,12/11/2119 07:17,1,BD,23
727,very relaxed,12/11/2119 07:37,1,BD,23
728,very sad,12/11/2019 11:58,1,BD,24
729,somewhat calm,12/11/2019 18:05,1,BD,24
730,very happy,12/11/2119 21:41,1,BD,23
731,very sad,13/11/2019 03:19,0.5,BD,24
732,somewhat calm,13/11/2019 07:09,0.333333,BD,24
733,very calm,13/11/2119 08:53,0.5,BD,23
734,very relaxed,13/11/2119 12:43,1,BD,23
735,very calm,13/11/2119 23:56,1,BD,23
736,very relaxed,14/11/2119 09:25,1,BD,23
737,very bored,14/11/2019 09:51,1,BD,24
743,somewhat calm,14/11/2019 16:57,0.333333,BD,24
744,very bored,15/11/2019 06:19,0.5,BD,24
745,very calm,15/11/2019 07:08,1,BD,24
746,very bored,15/11/2019 07:13,0.5,BD,24
747,somewhat calm,15/11/2019 08:41,0.333333,BD,24
748,very bored,15/11/2019 09:15,0.5,BD,24
749,somewhat calm,15/11/2019 09:25,0.333333,BD,24
750,very bored,15/11/2019 09:35,0.5,BD,24
751,somewhat calm,15/11/2019 09:40,0.333333,BD,24
752,very bored,15/11/2019 09:45,0.5,BD,24
753,somewhat calm,15/11/2019 10:00,0.333333,BD,24
754,very bored,15/11/2019 12:46,0.5,BD,24
755,somewhat calm,15/11/2019 13:06,0.333333,BD,24
756,very bored,15/11/2019 13:16,0.5,BD,24
757,somewhat calm,15/11/2019 13:26,0.333333,BD,24
758,very bored,15/11/2019 13:55,0.5,BD,24
759,somewhat calm,15/11/2019 14:00,0.333333,BD,24
760,very bored,15/11/2019 14:30,0.5,BD,24
761,somewhat calm,15/11/2019 14:35,0.333333,BD,24
762,very bored,15/11/2019 16:28,0.5,BD,24
763,very happy,15/11/2119 17:37,1,BD,23
764,somewhat calm,15/11/2019 16:37,0.333333,BD,24
765,very bored,15/11/2019 17:02,0.5,BD,24
766,somewhat calm,15/11/2019 17:12,0.333333,BD,24
767,very bored,15/11/2019 18:01,0.5,BD,24
768,somewhat calm,15/11/2019 18:21,0.333333,BD,24
769,very bored,15/11/2019 18:26,0.5,BD,24
770,somewhat calm,15/11/2019 18:36,0.333333,BD,24
771,very relaxed,15/11/2019 22:30,1,BD,24
772,very relaxed,16/11/2119 00:59,1,BD,23
773,very calm,16/11/2119 08:59,1,BD,23
774,very relaxed,16/11/2119 15:27,1,BD,23
775,very happy,16/11/2119 16:36,1,BD,23
776,somewhat happy,17/11/2119 03:43,0.5,BD,23
777,very happy,17/11/2119 04:12,1,BD,23
778,somewhat happy,17/11/2119 04:17,0.5,BD,23
779,very happy,17/11/2119 04:46,1,BD,23
780,somewhat happy,17/11/2119 04:51,0.5,BD,23
781,very happy,17/11/2119 04:56,1,BD,23
782,somewhat happy,17/11/2119 05:11,0.5,BD,23
783,very happy,17/11/2119 05:16,1,BD,23
784,somewhat happy,17/11/2119 05:26,0.5,BD,23
785,very happy,17/11/2119 05:31,1,BD,23
786,somewhat happy,17/11/2119 05:45,0.5,BD,23
787,very happy,17/11/2119 05:55,1,BD,23
788,somewhat happy,17/11/2119 06:05,0.5,BD,23
789,very happy,17/11/2119 06:10,1,BD,23
790,somewhat happy,17/11/2119 06:19,0.5,BD,23
791,very happy,17/11/2119 06:39,1,BD,23
792,somewhat happy,17/11/2119 06:44,0.5,BD,23
793,very happy,17/11/2119 07:23,1,BD,23
794,somewhat happy,17/11/2119 07:43,0.5,BD,23
795,very happy,17/11/2119 07:53,1,BD,23
796,somewhat happy,17/11/2119 08:02,0.5,BD,23
797,very happy,17/11/2119 08:17,1,BD,23
798,very calm,17/11/2119 08:42,0.5,BD,23
799,somewhat relaxed,17/11/2019 09:32,0.5,BD,24
800,very relaxed,17/11/2119 10:50,1,BD,23
801,very relaxed,17/11/2019 13:02,1,BD,24
802,very happy,17/11/2019 17:42,1,BD,24
803,very relaxed,18/11/2019 07:30,1,BD,24
804,relaxed,18/11/2019 11:36,0.924537,CL,25
805,very happy,18/11/2019 14:50,1,BD,24
806,very calm,19/11/2019 06:58,0.5,BD,24
807,calm,19/11/2019 09:19,0.276191,CL,25
808,very happy,19/11/2019 13:26,1,BD,24
809,relaxed,20/11/2019 11:58,0.421296,CL,25
810,very relaxed,20/11/2019 21:54,1,BD,24
819,calm,22/11/2019 08:50,0.014762,CL,25
820,relaxed,22/11/2019 11:03,0.081481,CL,25
821,happy,22/11/2019 18:10,0.567241,CL,25
822,excited,23/11/2019 08:59,0.765,CL,25
823,very happy,23/11/2019 13:35,1,BD,24
824,happy,23/11/2019 18:33,0.982759,CL,25
825,very relaxed,23/11/2019 21:15,0.5,BD,24
826,very sad,24/11/2019 11:15,0.5,BD,24
827,relaxed,24/11/2019 18:07,0.965278,CL,25
828,happy,25/11/2019 13:06,0.746552,CL,25
829,relaxed,25/11/2019 16:52,0.943519,CL,25
832,very sad,26/11/2019 12:30,1,BD,2
833,very happy,26/11/2019 12:31,1,BD,2
